metric,node,value,unit
frames,1,2133,count
subcarriers,1,64,count
duration,1,119.92,s
sample_rate,1,19.486,Hz
selected_subcarrier,1,55,index
baseline_mean_std,1,0.51601,-
baseline_sigma,1,0.02548,-
z_max,1,3.869,sigma
z_mean,1,-0.62,sigma
breathing_n,1,1765,count
breathing_mean,1,15.52,br/min
breathing_median,1,15.98,br/min
breathing_std,1,3.44,br/min
breathing_min,1,9.13,br/min
breathing_max,1,22.83,br/min
in_normal_range_pct,1,77.4,%
frames,2,1994,count
subcarriers,2,64,count
duration,2,120.02,s
sample_rate,2,18.938,Hz
selected_subcarrier,2,1,index
baseline_mean_std,2,0.51649,-
baseline_sigma,2,0.04514,-
z_max,2,7.028,sigma
z_mean,2,0.062,sigma
breathing_n,2,1636,count
breathing_mean,2,11.15,br/min
breathing_median,2,11.1,br/min
breathing_std,2,2.27,br/min
breathing_min,2,8.88,br/min
breathing_max,2,17.75,br/min
in_normal_range_pct,2,43.2,%
agreement_corr,-,-0.1568,-
agreement_mae,-,4.9987,-
agreement_bias,-,4.3558,-
agreement_loa,-,8.7154,-
agreement_points,-,240,-
agreement_controls,-,"[{'pairing': 'aligned (true pairing)', 'corr': -0.15680271135477544, 'mae': 4.998745007490493, 'median_diff': 4.887677807511217}, {'pairing': 'shifted +8s', 'corr': -0.13411724985292192, 'mae': 4.928174091787436, 'median_diff': 2.6041934869537275}, {'pairing': 'shifted +17s', 'corr': 0.18456455139773828, 'mae': 4.651905953222862, 'median_diff': 4.329039154137472}, {'pairing': 'shifted +33s', 'corr': -0.07152418489367383, 'mae': 5.271868299421416, 'median_diff': 4.951819640790465}, {'pairing': 'shifted +50s', 'corr': -0.1934459357817931, 'mae': 5.034434567560002, 'median_diff': 2.6683353202329734}, {'pairing': 'fully shuffled', 'corr': -0.07918908599974961, 'mae': 5.028466960673807, 'median_diff': 4.887677807511217}]",-
